Nombre;Timestamp;Enlace;Umbral;Precio
marty;2026-05-23T02:47:25.554750800;https://www.ebay.es/itm/137170034225;30.00;31.66
marty;2026-05-23T02:47:54.901154100;https://www.ebay.es/itm/137170034225;30.00;32.66
marty;2026-05-23T02:48:24.705204700;https://www.ebay.es/itm/137170034225;30.00;30.66
marty;2026-05-23T02:48:54.589756700;https://www.ebay.es/itm/137170034225;30.00;33
marty;2026-05-23T03:05:37.679465300;https://www.ebay.es/itm/137170034225;30.00;33.66

marty;2026-05-24T20:44:36.108859500;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:45:03.586390;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
Monitor Gaming;2026-05-24T20:45:09.888936400;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:45:37.628736900;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:45:37.630734700;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:46:08.510824200;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:46:08.511837100;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:46:41.510373800;https://www.ebay.es/itm/137170034225;30.00;33.66
marty;2026-05-24T20:47:09.273854600;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:47:09.274875100;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:47:42.264149;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:47:42.266165100;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:48:18.474197200;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:48:18.477206800;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
Monitor Gaming;2026-05-24T20:48:42.494781600;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:49:11.841922500;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:49:11.844361;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:49:41.241841800;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:49:41.244655300;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:50:12.150055900;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:50:12.151499400;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:50:43.003876300;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:50:43.004885400;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:51:16.030228700;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:51:16.031227300;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:51:46.616396900;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:51:46.617840500;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
Monitor Gaming;2026-05-24T20:52:13.814955100;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:52:42.646475200;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:52:42.647998200;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:53:14.302760300;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:53:14.307297200;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:53:42.747224300;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:53:42.748749400;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:54:13.795505900;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:54:13.797657300;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:54:43.871148600;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:54:43.875690200;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:55:13.232603800;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T20:55:13.233617200;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T20:56:28.259458;https://www.ebay.es/itm/137170034225;30.00;33.66
